brand, product_name, shipping, price
XFX RX 5700 XT THICC III ULTRA 8GB BOOST UP TO 2025 MHz GDDR6 3xDP HDMI Video Card,XFX,Free Shipping,439.99
PowerColor RED DEVIL Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DHE/OC 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,PowerColor,Free Shipping,439.99
GIGABYTE GeForce GTX 1650 MINI ITX OC 4G Graphics Card Mini ITX Form Factor 4GB 128-Bit GDDR5 GV-N1650IXOC-4GD Video Card,GIGABYTE,$8.99 Shipping,149.99
MSI GeForce GT 730 DirectX 12 N730K-2GD5LP/OC 2GB 64-Bit GDDR5 PCI Express 2.0 x16 HDCP Ready Video Card,MSI,Free Shipping,89.99
SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 11296-01-20G 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,Sapphire Tech,Free Shipping,334.99
EVGA GeForce GTX 1660 XC GAMING 06G-P4-1163-KR 6GB GDDR5 HDB Fan,EVGA,Free Shipping,228.49
MSI Radeon RX 5600 XT DirectX 12 RX 5600 XT MECH OCBV 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,MSI,Free Shipping,279.99
XFX Radeon RX 5600 XT THICC III PRO - RX-56XT6TF48 Video Card - 14GBPS 6GB BOOST UP TO 1750M D6 3xDP HDMI,XFX,Free Shipping,329.99
Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI) 100411P8GOCL,Sapphire Tech,$3.99 Shipping,239.99
ASRock Challenger Pro Radeon RX 5600 XT DirectX 12 RX5600XT CLP 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,ASRock,$3.99 Shipping,289.99
ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card Super Compact ZT-T20600K-10M,ZOTAC,Free Shipping,339.99
GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-4GD 4GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,GIGABYTE,Free Shipping,179.99
GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060IXOC-6GD rev. 2.0 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ITX Video Card,GIGABYTE,Free Shipping,299.99
SAPPHIRE PULSE Radeon RX 5500 XT DirectX 12 100418P8GL 8GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card,Sapphire Tech,$6.99 Shipping,224.99
XFX THICC II Pro Radeon RX 5500 XT RX-55XT8DFD6 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,XFX,Free Shipping,229.99
GIGABYTE GeForce GT 1030 Low Profile 2GB GV-N1030D5-2GL,GIGABYTE,$4.99 Shipping,84.49
SAPPHIRE NITRO+ Radeon RX 5500 XT DirectX 12 100418NT+8GSEL 8GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card Special Edition,Sapphire Tech,$3.99 Shipping,249.99
GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1650OC-4GL 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Low Profile Video Card,GIGABYTE,Free Shipping,159.99
XFX GTS Black Edition RX 580 8GB OC+ 1425MHz RX-580P8DBD6 DDR5 3xDP HDMI DVI With XFX Custom Backplate,XFX,Free Shipping,219.99
MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,MSI,Free Shipping,394.99
Sapphire Pulse RX 5600 XT BE 6GB GDDR6 PCI-E DUAL HDMI / DUAL DP OC w/ Backplate (UEFI),Sapphire Tech,$3.99 Shipping,419.99
ASRock Challenger D Radeon RX 5600 XT RX5600XT CLD 6GO 6GB (14Gbps) 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,ASRock,$3.99 Shipping,269.99
ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 8GO 8GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,ASRock,$3.99 Shipping,199.99
GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING OC-8GD (rev. 2.0) 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,GIGABYTE,Free Shipping,419.99
Sapphire Pulse RX 5600 XT BE 6GB GDDR6 PCI-E DUAL HDMI / DUAL DP OC w/ Backplate (UEFI),Sapphire Tech,Free Shipping,334.99
MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,MSI,$2.99 Shipping,89.99
ASRock Phantom Gaming D Radeon RX 580 DirectX 12 RX580 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,ASRock,$3.99 Shipping,179.99
GIGABYTE GeForce GTX 1650 SUPER DirectX 12 GV-N165SOC-4GD 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Video Card,GIGABYTE,Free Shipping,159.99
ASUS GeForce GTX 1660 Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660-O6G),ASUS,$6.99 Shipping,209.99
ASRock Phantom Gaming D2 Radeon RX 5600 XT RX5600XT PGD2 6GO 6GB (14Gbps) 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,ASRock,Free Shipping,299.99
MSI GeForce GT 730 DirectX 12 N730-4GD3V2 4GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready ATX Video Card,MSI,Free Shipping,94.49
ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO 4GB 128-Bit GDDR6 PCI Express 4.0 x8 HDCP Ready Video Card,ASRock,Free Shipping,179.99
PowerColor RED DRAGON Radeon RX 5600 XT DirectX 12 AXRX 5600XT 6GBD6-3DHR/OC 6GB 192-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,PowerColor,$3.99 Shipping,315.99
PowerColor Radeon RX 5600 XT DirectX 12 AXRX 5600 XT 6GBD6-3DHV2/OC 6GB 192-Bit GDDR6 PCI Express 4.0 Video Card,PowerColor,$8.18 Shipping,299.99
PowerColor RED DEVIL Radeon RX 5600 XT DirectX 12 AXRX 5600XT 6GBD6-3DHE/OC 6GB 192-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,PowerColor,Free Shipping,329.99
ASUS Dual Radeon RX 5600 XT DUAL-RX5600XT-T6G-EVO 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,ASUS,$3.99 Shipping,309.99
PowerColor Radeon RX 5500 XT DirectX 12 AXRX 5500XT 4GBD6-DH/OC 4GB 128-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,PowerColor,$3.99 Shipping,179.99
ASUS Dual Radeon RX 5500 XT DUAL-RX5500XT-O8GEVO 8GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASUS,Free Shipping,228.83
XFX Radeon RX 570 Black Edition DirectX 12 RX-570P8DBD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,XFX,Free Shipping,219.99
PNY GeForce GTX 1660 Ti Graphic Card - 1.50 GHz Core - 1.77 GHz Boost Clock - 6GB GDDR6 - Dual Slot Space Required,PNY Technologies Inc.,Free Shipping,318.32
XFX Radeon RX 5500 XT RX-55XT4DFD6 4GB 128-Bit GDDR6 PCI Express 4.0 Video Card,XFX,$3.99 Shipping,179.99
ASRock Challenger Pro Radeon RX 5700 XT DirectX 12 RX5700XT CLP 8GO 8GB 256-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,ASRock,$3.99 Shipping,399.99
ASUS Dual GeForce GTX 1650 DUAL-GTX1650-O4GD6-MINI 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,$3.99 Shipping,154.99
ASUS ROG Strix GeForce RTX 3080 DirectX 12 ROG-STRIX-RTX3080-O10G-GAMING 10GB 320-Bit GDDR6X PCI Express 4.0 x16 HDCP Ready Video Card,ASUS,$6.99 Shipping,849.99
