brand, product_name, shipping, price,
G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) AMD X370 / X399 Desktop Memory Model F4-2400C15D-32GTZRX,G.SKILL,Free Shipping,$129.99 (2 Offers)–,
G.SKILL TridentZ Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel Z370 Platform Memory (Desktop Memory) Model F4-3200C16D-32GTZ,G.SKILL,Free Shipping,$124.99 –,
G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C15D-32GTZR,G.SKILL,Free Shipping,$184.99 –,
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model F4-4000C15D-16GTRG,G.SKILL,Free Shipping,$219.99 (2 Offers)–,
G.SKILL 2GB (2 x 1GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model F2-6400CL5D-2GBNQ,G.SKILL,Free Shipping,$29.99 –,
G.SKILL Trident Z Royal Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 4000 (PC4 32000) Desktop Memory Model F4-4000C15Q-32GTRG,G.SKILL,Free Shipping,$439.99 –,
CORSAIR ValueSelect 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model CMV8GX3M2A1333C9,Corsair,Free Shipping,$44.99 (2 Offers)–,
G.SKILL Ares Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-1333C9D-8GAO,G.SKILL,Free Shipping,$42.99 –,
CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 DRAM DDR4 3600 (PC4 28800) Desktop Memory Model CMW16GX4M2C3600C18W,Corsair,Free Shipping,$116.99 (4 Offers)–,
G.SKILL Ripjaws X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Low Voltage Desktop Memory Model F3-12800CL9D-8GBXM,G.SKILL,Free Shipping,$41.93 (4 Offers)–,
Team Elite 32GB 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model TED432G3200C2201,Team Group,Free Shipping,$99.99 (2 Offers)–,
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model CMK16GX4M2Z3600C20,Corsair,Free Shipping,$69.99 (2 Offers)–,
CORSAIR ValueSelect 4GB 240-Pin DDR3 SDRAM DDR3 1333 Desktop Memory Model CMV4GX3M1A1333C9,Corsair,$0.99 Shipping,$20.99 (2 Offers)–,
Mushkin Enhanced Redline 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Desktop Memory Model MRA4U266GHHF8GX2,Mushkin Enhanced,Free Shipping,$59.99 (4 Offers)–,
G.SKILL Sniper Series 8GB 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9S-8GSR,G.SKILL,Free Shipping,$37.99 (2 Offers)–,
CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model CMK16GX4M4C3000C16,Corsair,Free Shipping,$79.99 (2 Offers)–,
Mushkin Enhanced Blackline 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) Desktop Memory Model MBB4U240FFFF8GX2,Mushkin Enhanced,Free Shipping,$65.99 (3 Offers)–,
G.SKILL AEGIS 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model F3-1333C9S-8GIS,G.SKILL,Free Shipping,$35.99 –,
G.SKILL Ripjaws V Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model F4-3000C15Q-32GVR,G.SKILL,Free Shipping,$136.99 –,
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model CMK16GX4M2D3600C18R,Corsair,Free Shipping,$71.99 –,
CORSAIR Dominator Platinum RGB 16GB (2 x 8GB) DDR4 3000 (PC4 24000) Desktop Memory Model CMT16GX4M2C3000C15,Corsair,Free Shipping,$117.99 –,
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 4400 (PC4 35200) Desktop Memory Model F4-4400C18D-16GTRS,G.SKILL,Free Shipping,$274.99 (3 Offers)–,
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 4400 (PC4 35200) Desktop Memory Model F4-4400C18D-16GTRG,G.SKILL,Free Shipping,$279.99 –,
CORSAIR Vengeance LPX 16GB 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Intel XMP 2.0 Desktop Memory Model CMK16GX4M1D3000C16,Corsair,Free Shipping,$59.99 (11 Offers)–,
G.SKILL Ripjaws X Series 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Intel 100/9/8/7/6 Series Desktop Memory Model F3-1600C9D-16GXLL,G.SKILL,Free Shipping,$77.29 (4 Offers)–,
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C14D-16GTRGB,G.SKILL,Free Shipping,$197.99 –,
G.SKILL Ripjaws V Series 16GB 288-Pin DDR4 SDRAM DDR4 2800 (PC4 22400) Desktop Memory Model F4-2800C15S-16GVR,G.SKILL,Free Shipping,$62.99 –,
OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4 21300) Desktop Memory Model MD4U082616BHDA,OLOy,Free Shipping,$58.99 –,
Kingston 4GB 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) Desktop Memory Model KVR24N17S6/4,Kingston Technology Corp.,Free Shipping,$20.98 (24 Offers)–,
G.SKILL Ripjaws V Series 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4 22400) Desktop Memory Model F4-2800C15D-8GVR,G.SKILL,Free Shipping,$39.99 (2 Offers)–,
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4 22400) Desktop Memory Model F4-2800C15D-32GVR,G.SKILL,Free Shipping,$119.99 –,
G.SKILL Ripjaws V Series 64GB (4 x 16GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4 22400) Desktop Memory Model F4-2800C15Q-64GVR,G.SKILL,Free Shipping,$249.99 (2 Offers)–,
G.SKILL Trident Z Royal Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-16GTRGC,G.SKILL,Free Shipping,$133.99 –,
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 4400 (PC4 35200) Intel XMP 2.0 Desktop Memory Model F4-4400C16D-16GVK,G.SKILL,Free Shipping,$179.99 –,
CORSAIR DOMINATOR PLATINUM RGB 16GB (2 x 8GB) DDR4 3200 (PC4 25600) Desktop Memory Model CMT16GX4M2Z3200C16,Corsair,Free Shipping,$121.99 (2 Offers)–,
G.SKILL TridentZ Series 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Intel Z370 Platform Desktop Memory Model F4-3000C15D-32GTZ,G.SKILL,Free Shipping,$139.99 (2 Offers)–,
